to	~쪽으로, ~에게
crop	수확하다
tour	여행
slightly	약간
magic	마법
print	인쇄하다
perceive	인지하다, 알아차리다
routine	일상적인
row	줄
movie	영화
interpreter	통역사
occupation	직업
entire	전체의
afterward	후에
transform	변형시키다
arrival	도착
suggestion	제안
decent	깔끔한, 품위있는
latter	후자의
cell	세포
consideration	고려, 고찰
passage	통행, 통로
alarm	놀라게 하다, 경보를 내다
relief	안도, 안심
dull	흐릿한, 우둔한
clothing	의복
orbit	궤도
fool	바보
astonish	놀라게 하다
temperature	온도, 기온
confuse	혼란시키다
shelter	대피소
autumn	가을
display	전시하다, 진열하다
suspect	의심하다
bomb	폭탄
lazy	게으른
assumption	가정, 전제
possibly	아마, 혹시
teaching	가르침
wholly	온통, 완전히
justice	정의
farmer	농부
sorrow	슬픔, 비애
somewhere	어딘가에
swim	수영하다
application	적용
fond	좋아하여, 마음에 들어
differently	다르게
calendar	달력
Indian	인도인, 인디언
handle	다루다, 처리하다
exact	정확한
manuscript	원고
tie	~를 묶다, 매다
beard	턱수염
inhabit	~에 살다, 거주하다
injure	상처를 입히다
beneath	~의 바로 밑에
justify	정당화하다
risk	위험
repair	수리하다
organism	유기체
security	안전
wave	물결, 파도
increasingly	점점 더, 더욱 더
primarily	본질적으로, 주로
device	장치, 기구
comment	주석, 해설
battle	전투
abandon	버리다, 떠나다
historical	역사의, 역사상의
violent	폭력적인, 난폭한
considerable	상당한, 적지 않은
cough	기침하다
kitchen	부엌
imitate	모방하다, 흉내내다
dawn	새벽
finger	손가락
accomplish	성취하다
warn	경고하다
fulfill	실행하다, 수행하다
absurd	터무니없는, 부조리한
yard	뜰
expectation	기대
invite	초대하다
solution	해결
consequently	따라서, 그 결과로서
response	응답, 대답
distribute	분배하다
heir	상속인, 후계자
advertise	광고하다
occurrence	발생
superficial	표면의, 외면의, 피상적인
description	묘사, 설명
indifferent	무관심한
reflection	반사
profit	이익, 수익
Roman	로마의, 로마인의
stomach	위, 배
competition	경쟁
oppose	반대하다, 반항하다
wherever	어떤 곳에든지
milk	우유
pair	한 쌍, 두 개
distant	먼, 멀리 있는
polite	공손한
mathematics	수학
savage	야만적인, 잔인한
biological	생물학의
cottage	오두막집
cousin	사촌
welfare	행복, 복지
dust	먼지
May	5월
Sunday	일요일
burn	타다, 태우다
infant	유아
prospect	전망, 가망
India	인도
inherit	상속하다
inadequate	부적당한, 불충분한
cent	센트
efficiency	능률, 효율
association	연합
comparable	~와 비교할 수 있는
high school	고등학교
pen	펜
raw	날것의, 가공하지 않은
tremendous	대단한, 굉장한
absolute	절대적인
cultivate	경작하다
despite	~에도 불구하고
substitute	~를 대신하다
enormous	거대한
plow	쟁기
firmly	단단히, 확고하게
critic	비평가
precisely	정확하게
pursuit	추적, 추구
proceed	나아가다, 전진하다, 계속하다
voyage	여행, 항해
rose	장미
specialize	(~을) 전문으로 하다
meeting	모임, 회의
steal	~을 훔치다
academic	학문의
sweet	달콤한
reward	보상
impulse	충동
recover	회복하다
convey	~를 운반하다, 나르다
butterfly	나비
card	카드
stress	강조, 중점
peasant	소작인, 농민
accompany	~에 동반하다
harm	해, 손상, 손해
thorough	완전한, 철저한
artistic	예술적인
reign	통치하다
anywhere	어디에서나
overcome	~을 이겨내다, 극복하다
analysis	분석
extreme	극단의
complain	불평하다
idle	게으른, 무익한
Italian	이탈리아인
key	열쇠
treasure	보물
besides	~이외에도
tiny	몹시 작은
glove	장갑
fortune	운수, 큰 재산
conquer	정복하다, 이기다
renaissance	르네상스
commit	(죄, 과실 등을) 저지르다
wage	임금, 급여
leader	지도자
definition	정의함, 명확하게 함
regret	~를 후회하다
coffee	커피
operate	(기계 등을) 작동하다
plough	쟁기
bottom	아랫부분, 바닥
suitable	적당한
meat	고기
minimum	최소한의, 최저의
lion	사자
machinery	기계(류)
expose	~를 드러내다
unusual	이상한, 유별난
pocket	호주머니
pure	순수한, 불순물이 없는
receipt	영수증
ultimately	결국
headache	두통
slip	미끄러지다
era	시대
painful	아픈, 괴로운
ball	공
edge	가장자리, 끝
bell	종
participate	참가하다, 가담하다
performance	실행, 연주, 공연
encounter	우연히 마주치다, 해후하다
sacrifice	희생
laborious	힘이 드는, 곤란한
clock	괘종시계
musical	음악의
brief	잠시의, 간결한
nurse	간호사
derive	~에서 얻다, 이끌어내다
melancholy	우울, 애수
violence	폭력
role	역할
bathe	목욕하다, ~를 목욕시키다
collection	수집
everyday	날마다의, 매일의
terrible	무시무시한, 형편없는
otherwise	만약 그렇지 않으면
sharply	날카롭게
stair	(~s) 계단
regular	규칙적인, 정연한
lonely	고독한
camel	낙타
market	시장
shout	외치다
motor	모터, 원동기
luxury	사치, 호사
frequent	빈번한
correct	올바른
stir	(액체 등을) 휘젓다
sympathy	동정, 연민
shut	~를 닫다
interrupt	방해하다
unite	결합하다
phrase	어구, 문구
attribute	특징, 특성
unhappy	불행한
plane	평면
servant	하인
purchase	구매하다
severe	엄격한
beg	간청하다
tower	탑
stamp	도장
architect	건축가
soft	부드러운
infamous	불명예스러운
drown	물에 빠져 죽다
ice	얼음
threaten	위협하다
strike	~를 치다
management	경영
hall	회관
urge	~를 다그치다, 재촉하다
inhabitant	주민
govern	(나라 등을) 다스리다
incline	기울이다
responsible	책임이 있는
pressure	압력
ring	반지
companion	동료, 친구
aloud	소리내어
rare	드문
bough	(나뭇) 가지
bowl	사발
attraction	끌어당기는 힘, 매력
peaceful	평화로운
seriously	심각하게
recreation	기분 전환, 레크리에이션
willing	기꺼이~하는
cook	요리하다
asleep	잠들어
nowadays	요즘에는
glad	기쁜
thief	도둑
creative	창조적인
gaze	가만히 보다, 응시하다
darkness	어둠
policy	정책
arrow	화살
forth	앞으로
conscience	양심
beach	해변
fun	재미, 즐거움
genius	천재
guest	손님
northern	북쪽의
spell	~의 철자를 말하다
medical	의학의
north	북쪽
dance	춤추다
frighten	놀라게 하다
mystery	신비
wool	양모, 양털
palace	궁전
hate	싫어하다
essentially	본질적으로
continent	대륙
identify	확인하다, 식별하다
sword	검, 칼
affection	애정
formal	정식의, 형식적인
farther	더 멀리
Russian	러시아인
metal	금속
concentration	집중
employment	고용
cloth	천
destiny	운명
bath	목욕
Italy	이탈리아
mysterious	신비한
foundation	기반, 토대
negative	부정적인
nest	(새의) 둥지
extra	여분의
barometer	지표
recommend	~를 추천하다
propose	제의하다, 제안하다
uncle	삼촌, 아저씨
lift	~를 들어올리다
apt	~하기 쉬운
tragic	비극의, 비통한
hungry	배고픈
defend	~를 방어하다
misery	불행
oblige	(남에게) 강요하다
sweater	스웨터
endure	견디다
elaborate	정교한, 공들여 만든
vain	헛된
perfection	완전
deceive	~를 속이다
cigarette	담배
borrow	빌리다
flat	평평한
egg	계란
hole	구멍
realm	영역, 범위
journal	(일간)신문
female	여성, 여성의
grief	슬픔
bicycle	자전거
opening	개시, 시작
commonly	일반적으로
percentage	백분율, 퍼센트
grasp	~를 꽉 쥐다
strive	노력하다, 애쓰다
adjust	조정하다, 맞추다
song	노래
cake	케이크
tear	눈물
rent	집세, 임대료
consciousness	의식
financial	재정의
thin	얇은
theoretical	이론상의
rid	~를 없애다
central	중심의
suburb	교외
cruel	잔인한
incident	사건
inspire	고취하다, 고무하다
journalist	신문기자
fancy	공상
airplane	비행기
disadvantage	단점, 불리한 점
counter	반대의
intention	의도, 의향
sum	합계
safety	안전
victim	희생자
silent	조용한
entertainment	연예
label	상표, 꼬리표
evident	명백한
mischief	손해
sale	판매
passenger	승객
conceive	생각해내다
utter	말하다
delay	지연시키다
hostile	적의가 있는
clerk	점원
construction	건설, 건축 공사
proof	증거
inheritance	유산, 상속
somebody	어떤 사람
stare	빤히 보다
hatred	증오
root	뿌리
comparison	비교
commerce	상업
final	최후의
fence	울타리, 담
steadily	꾸준히
foul	불결한
conventional	관습의, 틀에 박힌
investigation	조사
obedience	복종
pace	속도, 보조
total	총계
hence	그러므로
route	길
beast	짐승
board	널빤지, 판자
block	큰 덩어리
rice	쌀
precious	귀중한
acquaint	숙지시키다, 알리다
announce	공고하다, 발표하다
football	미식축구
inspiration	영감
decline	거절하다
inform	알리다
umbrella	우산
museum	박물관
translate	번역하다
technological	과학기술의
disaster	재난
essay	수필
import	수입하다
select	고르다
pause	중지, 중단
domestic	가정의, 국내의
probable	있을법한
electricity	전기
desirable	바람직한
convenience	편리
flesh	살, 고기
crisis	위기
compete	경쟁하다
endless	끝없는
physics	물리학
instruction	교육
immense	거대한, 매우 큰
indispensable	없어서는 안 되는
fate	운명, 숙명
absolutely	절대로
thick	두꺼운
conception	개념
brilliant	빛나는
wheel	바퀴
vacation	휴가
invitation	초대
amusement	오락
salt	소금
combine	~를 결합하다
impose	(벌금, 의무 등을) 부과하다
objective	객관적인
hasten	서두르다
arrangement	배열, 정리
edition	(간행물의) 판
sentiment	감정
Russia	러시아
infinite	무한의
crew	(비행기, 열차 등의) 승무원
list	목록
fiction	소설
tide	조수, 조류
toy	장난감
expert	전문가
project	계획하다
bottle	병
gray	회색
patience	인내
conclude	결론을 내리다
lovely	아름다운
quietly	조용히
gun	총
recall	회상하다
badly	좋지 않게, 심하게
fortunate	운좋은
respond	응답하다, 대답하다
anyway	아무튼
kindness	친절
double	2배의
interfere	간섭하다, 방해하다
endow	기부하다, 부여하다
expedition	탐험, 원정
mouse	쥐
essence	본질
survival	생존
unpleasant	불쾌한
match	성냥, 경기
carriage	사륜마차
passion	정열
unconscious	의식하지 못하는
foolish	어리석은
capital	수도
electric	전기의
ultimate	최종의, 궁극의
fade	희미해지다, 약해지다
mutual	서로의, 상호간의
arouse	깨우다
deliberate	심사숙고하다
numerous	수많은
strongly	강하게
impress	(남에게) 감동을 주다
vehicle	차량, 탈것
associate	교제하다, 제휴하다
challenge	도전
shore	바닷가, 강가
clever	영리한
brave	용감한
physically	물리적으로, 신체적으로
screen	스크린, 칸막이
gas	기체, 가스
bare	벌거벗은
calm	평온한
atomic	원자의
gold	금, 황금
abstract	추상적인
unique	유일한, 고유한
alternative	대안
specific	명확한, 구체적인
amuse	(남을) 즐겁게 하다
sigh	한숨쉬다
bother	괴롭히다
effectively	효과적으로
valley	계곡
Eskimo	에스키모 사람
prison	교도소
army	육군
exaggerate	과장하다
stupid	어리석은
handicap	신체 장애, 불리한 조건
diminish	감소하다
frog	개구리
survey	조사하다
stimulate	자극하다, 격려하다
release	(의무, 고통 등에서) 풀어주다
brown	갈색
taxi	택시
equality	평등
lunch	점심
elevator	승강기
compel	강요하다
minor	소수의, 중요하지 않은
engine	엔진, 발동기
iron	철, 쇠
obstacle	장애물
harmony	조화, 화합
geometry	기하학
dare	감히~하다
friendship	우정
bore	(사람을) 싫증나게 하다, 지루하게 하다
concept	개념, 관념
chew	씹다
barber	이발사
automatic	자동적인
strain	~를 잡아당기다
popularity	유행, 인기
geography	지리학
expand	~를 확대하다
long	긴
quantity	양, 분량
travel	여행하다
victory	승리
nonsense	허튼 소리, 터무니없는 일
attract	(주의, 흥미 등을) 끌다
funny	재미있는
measurement	측량, 계량
coach	~를 지도하다
isolate	격리시키다
educator	교육가
sex	성
composition	조립, 구성
orange	오렌지
prosperous	번영하는
Pacific	태평양
mad	미친, 화가 난
wet	젖은
positive	긍정적인
ignorant	무식한
confusion	혼란
debt	빚
steady	안정된, 일정한
originally	원래는
burden	짐
disturb	방해하다
sour	(음식물이) 신
banana	바나나
folk	사람들
attain	~을 달성하다
unfortunately	불행히도
aside	곁에, 옆으로
neighbor	이웃 (사람)
dirty	더러운
inquire	(남에게) 묻다, 문의하다
distinct	명료한, 뚜렷한
flock	떼, 무리
giant	거인
resort	휴양지
ashamed	부끄러워하여
accustomed	익숙한
eventually	결국
ruin	~를 파괴하다
lucky	운이 좋은
punish	~를 벌하다, 처벌하다
neck	목
flight	비행
reject	거절하다
loud	(소리, 음성이) 큰
damage	손해, 손상
noisy	시끄러운
sphere	구, 둥근 물체
alcohol	알콜
conceal	~를 숨기다
secretary	비서
net	그물, 망
skilled	숙련된
absent	불참한
staff	직원
guarantee	보증하다
dependent	의존하는, 의지하는
render	~이 되게하다
cup	컵
item	항목, 조항
committee	위원회
Englishman	영국인
purse	지갑
mechanics	역학, 기계학
pollution	오염
thinker	사상가
explore	탐험하다
Christmas	성탄절
title	제목
charm	매력
maybe	아마도
legal	합법적인, 법률의
limitation	제한
intense	강렬한
photography	사진촬영(술)
brush	솔, 솔질
industrious	근면한
injury	부상, 손상
grammar	문법
construct	구성하다, 건설하다
simplicity	단순성
villager	마을사람
pity	연민
precise	정확한
temper	기질
irritate	~를 화나게 하다
scream	비명을 지르다
textbook	교과서
butcher	정육점 주인
unlike	~와는 다르게
float	(액체 등에) 떠오르다, 떠다니다
sidewalk	보도, 인도
phenomena	phenomenon(현상)의 복수형
knock	(문 등을) 두드리다
continuous	끊임없는
proposal	제안, 제의
considerably	상당히
radical	근본적인
shave	깎다, 면도하다
humor	유머, 해학
lifetime	일생
parish	교구
cave	동굴
diameter	직경, 지름
elsewhere	다른 곳에서
restaurant	식당
intimately	친밀하게
old-fashioned	구식의
convenient	편리한
yellow	노란색
freely	자유롭게
elder	손위의
temporary	일시적인
tale	이야기
burst	터지다, 파열하다
railroad	철도
Latin	라틴어의
spectator	관객
mechanical	기계의, 기계적인
household	가족, 세대
delicate	섬세한
illustrate	설명하다
lock	자물쇠
reserve	따로 남겨두다, 보존하다
luck	운, 운수
mail	우편물
explorer	탐험가
salary	월급
nuclear	원자핵의
potato	감자
lunar	달의
cage	새장
romantic	낭만적인
relieve	해방시키다
chiefly	무엇보다
nervous	불안한, 침착성이 없는
exert	(힘, 능력을) 내다, 쓰다
specialist	전문가
preparation	준비
continually	계속해서
December	12월
deliver	~를 배달하다
strict	엄격한
terribly	지독하게, 무시무시하게
channel	해협
horror	공포
confess	고백하다
depth	깊이
mineral	광물
opposition	반대
chamber	방
organ	기관
highway	고속도로
worm	벌레
instinct	본능
mountainous	산이 많은
etc.	기타 등등
club	클럽
ghost	유령
proverb	격언
mainly	주로
gigantic	거대한
plenty	많음
exhibition	박람회
echo	메아리
suspicious	의심스러운
rebel	반역자, 반항자
systematic	체계적인
knee	무릎
wind	바람
golden	금빛의
hunter	사냥꾼
globe	구, 지구
repetition	반복
sad	슬픈
wire	철사, 전선
emphasize	강조하다
sincere	성실한, 진실한
supreme	최고의
helpless	어찌할 수 없는
meadow	목초지
inventor	발명가
obey	~에 복종하다
accuracy	정확성
inch	인치
tune	선율
hobby	취미
gentle	온화한
formula	공식
external	외부의
approval	승인
passive	수동적인
faith	믿음
abolish	폐지하다
earthquake	지진
canal	운하
transmit	전달하다
awaken	(잠에서) 깨우다
model	모델
ugly	못생긴
customer	고객
owl	올빼미
rob	빼앗다, 훔치다
competitive	경쟁의
lawn	잔디
relax	긴장을 풀다
topic	화제
suspicion	의심, 혐의
cow	암소
theme	주제, 테마
marvelous	놀라운, 훌륭한
executive	실행하는
July	7월
atom	원자
baseball	야구
cheat	속이다
diary	일기
monster	괴물
soap	비누
advertisement	광고
adjustment	조정, 조절
craft	기술, 공예
restore	회복시키다
retain	~을 보유하다
agreement	동의
hide	(사람, 물건을) 감추다
pearl	진주
purely	순수하게
shine	빛나다
silver	은
impact	충돌, 충격
flourish	번영하다
despise	~을 경멸하다
mature	성숙한
entitle	~라고 칭하다
physician	내과의사
remote	멀리 떨어진
favorite	마음에 드는
lean	기대다
uniform	제복
inevitably	반드시, 필연적으로
conviction	확신, 유죄판결
robber	강도
furnish	(가구 등을) 갖추다
bearing	태도
imaginative	상상력이 풍부한
hunger	굶주림
predict	예언하다, 예시하다
attractive	매력있는
unaware	(~을) 의식하지 못하는
error	잘못
economist	경제학자
loyalty	충성
declare	선언하다
leaf	잎
chain	사슬
tender	부드러운
commercial	상업의
substance	물질
emphasis	강조
tail	꼬리
bone	뼈
merchant	상인
Frenchman	프랑스인
hang	~를 (...에) 걸다
brown-eyed	갈색눈의
rational	이성적인
sufficiently	충분히
eager	열망하는
stock	재고(품)
offend	(남의) 감정을 상하게 하다
insult	(남을) 모욕하다
utterly	아주
piano	피아노
thermometer	온도계
vote	투표하다
chemical	화학의
practically	실제로
succession	연속
well-known	유명한
prevail	널리 퍼져있다
primary	주요한
economics	경제학
player	선수
captain	우두머리
safely	안전하게
march	행진하다
handsome	잘생긴
athlete	운동선수
objection	반대
co-operation	협력
distress	고통
gesture	몸짓, 제스처
oven	오븐
president	대통령
departure	출발
trick	계략
glory	영광
cleanse	깨끗하게 하다
bat	(야구 등의) 배트
housewife	주부
link	연결하다, 잇다
elementary	초보의
recognition	인식
shake	~를 흔들다
imitation	모방, 모조품
doom	운명
satellite	(인공) 위성
Switzerland	스위스
seed	씨
trousers	바지
sympathetic	동정적인
spare	예비의
rub	문지르다, 비비다
influential	큰 영향을 주는
explosion	폭발
logical	논리적인
persist	고집하다
frontier	국경 (지방)
promote	장려하다, 승진시키다
smell	냄새를 맡다
punishment	처벌
restraint	억제, 제지
roof	지붕
puppy	강아지
profound	깊은, 심오한
courageous	용감한
rabbit	토끼
horrible	무서운, 끔찍한
miserable	비참한
cure	치료하다
inferior	열등한
hardship	고난
consume	~을 소비하다
comparatively	비교적
instinctive	본능적인
confirm	확인하다
shopping	물건 사기, 쇼핑
naked	벌거벗은
goodness	선, 친절
data	자료
Mediterranean	지중해, 지중해의
awake	깨우다
sink	가라앉다
misunderstanding	오해
psychologist	심리학자
nourish	~에 영양분을 주다, 키우다
intimate	친밀한
deserve	(~할만한) 가치가 있다
eastern	동쪽의
odd	이상한, 묘한
peculiarity	기묘함, 이상함
instructor	교사
generalization	일반화
amaze	~를 놀라게하다
soup	수프
ceiling	천장
court	재판소
wing	날개
Monday	월요일
politician	정치가
observer	관찰자
complexity	복잡성
mercy	자비
officer	장교, 관리
cruelty	잔인함
favorable	찬성하는, 호의적인
entrance	입구
text	본문
startle	~를 깜짝 놀라게 하다
agricultural	농업의
fashionable	유행하는, 최신식의
department	과, 학부
interview	면접
owing	빚지고 있는
score	득점
expense	비용
editor	편집자
contribution	공헌, 기여
preference	선호
solitary	고독한, 혼자뿐인
musician	음악가
spring	봄
summer	여름
fall	가을
winter	겨울
Sunday	일요일
Monday	월요일
Tuesday	화요일
Wednesday	수요일
Thursday	목요일
Friday	금요일
Saturday	토요일
today	오늘
tomorrow	내일
yesterday	어제
January	1월
February	2월
March	3월
April	4월
May	5월
June	6월
July	7월
August	8월
September	9월
October	10월
November	11월
December	12월
east	동쪽
west	서쪽
south	남쪽
north	북쪽
cosmos	우주
star	별
sun	태양
earth	지구
moon	달
volcano	화산
sea	바다
land	땅
island	섬
sky	하늘
river	강
nature	자연
gull	갈매기
cloud	구름
wave	파도
hill	언덕
mountain	산
forest	숲
lake	호수
air	공기
animal	동물
fox	여우
elephant	코끼리
bat	박쥐
deer	사슴
lion	사자
cow	암소
goat	염소
dog	개
cat	고양이
monkey	원숭이
bear	곰
whale	고래
zebra	얼룩말
hippo	하마
horse	말
camel	낙타
hare	산토끼
rabbit	토끼
wolf	늑대
tiger	호랑이
insect	곤충
moth	나방
butterfly	나비
grasshopper	메뚜기
fly	파리
mosquito	모기
bee	벌
ant	개미
bird	새
swallow	제비
crow	까마귀
swan	백조
seagull	갈매기
crane	학
eagle	독수리
hawk	매
owl	올빼미
cock	수탉
hen	암탉
turkey	칠면조
penguin	펭귄
flower	꽃
lily	백합
pansy	팬지
rose	장미
tulip	튤립
sunflower	해바라기
tree	나무
pine	소나무
maple	단풍나무
leaf	잎
root	뿌리
branch	가지
fish	물고기
shark	상어
goldfish	금붕어
shrimp	새우
crab	게
people	사람들
children	어린이들
baby	갓난아기
adult	어른
woman	여자
man	남자
lady	숙녀
gentleman	신사
friend	친구
student	학생
neighbor	이웃
family	가족
grandmother	할머니
grandfather	할아버지
mother	어머니
father	아버지
son	아들
daughter	딸
brother	형제
sister	자매
aunt	아주머니
uncle	아저씨
cousin	사촌
niece	조카(딸)
nephew	조카(아들)
husband	남편
body	몸
head	머리
face	얼굴
neck	목
back	등
shoulder	어깨
chest	가슴
waist	허리
hip	엉덩이
elbow	팔꿈치
arm	팔
wrist	손목
hand	손
finger	손가락
nail	손톱
stomach	위, 배
leg	다리
knee	무릎
calf	장딴지
ankle	발목
foot	발
toe	발가락
heel	뒤꿈치
skin	피부
bone	뼈
hair	머리카락/털
forehead	이마
brow	눈썹
eye	눈
ear	귀
mouth	입
lip	입술
tooth	이
tongue	혀
nose	코
chin	턱
cheek	뺨
cloth	옷
jacket	웃옷, 자켓
sweater	스웨터
raincoat	비옷
overcoat	외투
trousers	바지
skirt	치마
shorts	반바지
hat	모자
jumper	점퍼
umbrella	우산
sunglasses	썬글라스
nightgown	잠옷
belt	벨트
necklace	목걸이
earring	귀고리
hairpin	머리핀
ring	반지
shoes	신발
sneakers	운동화
handbag	손가방, 핸드백
feeling	감정
hot	매운, 뜨거운
thirsty	목마른
sleepy	졸린
cold	추운
hungry	배고픈
full	배부른
worried	걱정스러운
sick	아픈
lonely	외로운
sad	슬픈
proud	자랑스러운
excited	흥분한
bored	지루한
angry	화난
upset	혼란에 빠진, 성난
surprised	놀란
happy	행복한
tired	피곤한
hospital	병원
doctor	의사
nurse	간호사
dentist	치과
cavity	충치
city	도시
streetlight	가로등
sidewalk	보도
hotel	호텔
taxi	택시
bank	은행
street	거리
church	교회
post office	우체국
police station	경찰서
park	공원
theater	극장
bakery	빵집
city hall	시청
bench	벤치
slide	미끄럼틀
playground	놀이터
tag	술래잡기
hide-and-seek	숨바꼭질
swing	그네
jumping rope	줄넘기
telephone	전화
cellular phone	휴대폰
vehicle	탈것
airplane	비행기
helicopter	헬리콥터
bicycle	자전거
motorcycle	오토바이
bus	버스
yacht	요트
subway	지하철
train	기차
house	집
stairs	계단
garage	차고
floor	마루
roof	지붕
mailbox	우편함
door	문
bed	침대
rug	깔개
kitchen	부엌
toilet	화장실
bathroom	욕실
chimney	굴뚝
soap	비누
toothpaste	치약
toothbrush	칫솔
toilet paper	휴지
thread	실
needle	바늘
room	방
desk	책상
chair	의자
book	책
globe	지구
calendar	달력
wastebasket	휴지통
photograph	사진
picture	그림
lamp	등불
racket	라켓
bag	가방
cooker	요리기구
oven	오븐
refrigerator	냉장고
kettle	주전자
plate	접시
pot	냄비
tray	쟁반
bowl	사발
glass	유리컵
fork	포크
spoon	수저
knife	칼
chopstick	젓가락
living room	거실
television	텔레비전
clock	벽시계
table	테이블
mirror	거울
bookshelf	책꽂이
curtain	커튼
vase	꽃병
ceiling	천장
food	식품
corn	옥수수
cocoa	코코아
coffee	커피
sugar	설탕
butter	버터
salt	소금
bread	빵
roll	롤빵
pie	파이
cake	케이크
milk	우유
sausage	소시지
meat	고기
ham	햄
hamburger	햄버거
rice	쌀
noodles	국수
spaghetti	스파게티
pizza	피자
salad	샐러드
soup	수프
onion	양파
cheese	치즈
tuna	참치
cookies	쿠키
eggs	계란
margarine	마가린
flour	밀가루
doughnut	도우넛
ketchup	케첩
fruit	과일
apple	사과
lemon	레몬
pineapple	파인애플
banana	바나나
melon	멜론
strawberry	딸기
watermelon	수박
chestnut	밤
orange	오렌지
vegetable	야채
cabbage	양배추
potato	감자
carrot	당근
cucumber	오이
tomato	토마토
pumpkin	호박
pepper	고추, 후추
mushroom	버섯
garlic	마늘
school	학교
library	도서관
locker	사물함
school bus	스쿨 버스
gymnasium	체육관
blackboard	칠판
chalk	분필
eraser	지우개
teacher	선생님
pen	펜
ruler	자
pencil	연필
pencil case	필통
notebook	공책
textbook	교과서
map	지도
timetable	시간표
watch	손목 시계
subject	과목
art	예술, 미술
music	음악
English	영어
history	역사
mathematics	수학
science	과학
cello	첼로
guitar	기타
violin	바이올린
piano	피아노
triangle	트라이앵글
job	직업
actor	남자 배우
artist	예술가
announcer	아나운서
barber	이발사
carpenter	목수
pilot	조종사, 파일럿
musician	음악가
singer	가수
cook	요리사
mailman	우편 집배원
farmer	농부
firefighter	소방수
hairdresser	미용사
model	모델
lawyer	변호사
housekeeper	주부
police officer	경찰관
secretary	비서
sports	운동
swimming	수영
baseball	야구
soccer	축구
fencing	펜싱
volleyball	배구
golf	골프
bowling	볼링
skiing	스키
wrestling	레슬링
weather	날씨
sunny	맑은
cloudy	흐린
raining	비가 오는
snowing	눈이 오는
windy	바람부는
foggy	안개 낀
lightning	번개
thunderstorm	천둥
rainbow	무지개
warm	따뜻한
cool	시원한
color	색깔
blue	파랑색
brown	갈색
purple	보라색
yellow	노랑색
green	녹색
white	흰색
gray	회색
pink	분홍색
black	검정색
red	빨강색
calender	달력
year	년, 해
month	달
day	날(하루)
week	주일
weekend	주말
date	날짜
computer	컴퓨터
mouse	마우스
monitor	모니터
keyboard	키보드
printer	프린터
abuse	남용하다
accumulate	축적하다
adopt	채용하다
advertise	광고하다.
affect	영향을 미치다
applaud	박수갈채를 보내다
assent	동의하다
avenge	원수를 무찌르다
banish	추방하다
bore	굴복시키다
bury	매장하다
circulate	순환하다
collect	모으다
compensate	보상하다
comprehend	이해하다
condemn	비난하다
correct	정정하다
deny	부정하다
distribute	분배하다
endeavor	노력하다
envelop	싸다. 덮다
excel	능가하다
exhaust	다 써버리다.
fulfill	(의무 등을) 다하다
heal	치료하다
imitate	흉내내다
infer	추론하다
institute	설립하다
intensify	강하게 하다
intervene	개입하다
maintain	유지(주장)하다
oppose	반대하다
paralyze	마비시키다.
pray	기도하다
proceed	나아가다
profess	공언하다
prophesy	예언하다
purchase	구입하다
recollect	생각해내다
reconcile	화해시키다.
vouch	보증하다
sneer	조소하다
stare	응시하다
stir	휘젓다, 분기시키다
suffice	충분하다
survey	개관(조사)하다,
swear	맹세하다
transfer	이동시키다
upset	뒤집다
vanish	사라지다.
alternative	양자택일의
apparent	명확한
approximate	대강의
artificial	인공의
bare	알몸의
coarse	천박한
conscientious	양심적인
conservative	보수적인
cowardly	겁 많은
dear	친애한, 값비싼
deliberate	신중한
dismal	음침한
dumb	말 못하는
financial	재정의, 금융의
foul	불결한
imaginary	상상의
impudent	뻔뻔스런
incessant	끊임없는
indolent	태만한
infamous	악명 높은
inherent	천부의, 타고난
innocent	무죄의, 청순한
intended	의도적인
laborious	힘드는, 근면한
legitimate	합법의
literary	문학의
loose	느슨한
magnificent	장관의, 멋진
melancholy	우울한
monotonous	단조로운
novel	신기한, 새로운
opposite	반대의
passionate	열정적인
picturesque	그림 같은
plain	명백한, 평원
profitable	유리한
resolute	단호한
respectful	경의를 표하는
royal	왕의, 당당한
sensible	분별 있는
severe	엄격한
significant	중요한
skeptical	의심 많은
sole	유일한
staple	주요한
stubborn	완고한
sufficient	충분한
tedious	지루한
vague	모호한
voluntary	자발적인
account	설명, 계산
affection	애정
agriculture	농업
altar	제단
analysis	분석
ancestor	선조
antiquity	오래됨, 고대
applause	박수갈채
arithmetic	산수
aspect	양상
atmosphere	분위기
attitude	태도
author	작가
authority	권위
awe	두려움
basis	기초
berry	딸기
bough	큰 가지
breadth	폭, 넓이
bribery	뇌물
caprice	변덕
category	부문, 종류
ceremony	의식(행사)
character	성격, 문자, 인물
commerce	상업
community	공동사회
compliment	칭찬, 아첨
conflict	다툼
consciousness	의식
contact	접촉
correction	정정, 교정
courtesy	예의
cowardice	겁
crisis	위기
decade 10	년간
discipline	훈련, 예절
disease	병
draft	초고
eloquence	웅변
enthusiasm	열심, 열광
environment	환경
epoch	시대, 신시대
exhibition	전람회, 전시
experiment	실험
exploit	공적, 공훈
export	수출
facility	손쉬움, (복)설비
famine	기아, 굶주림
farewell	이별
feature	특징 (복)용모
flour	밀가루
hare	산토끼
heaven	천국
heretic	이단자
honesty	정직
hypothesis	가설, 가정
increase	증가
influence	영향
instinct	본능
insult	모욕
intention	의지, 의도
interference	방해, 간섭
invalid	환자, 허약한
laboratory	실험실, 연구실
manifest	명백한
manuscript	원고, 사본
menace	위협
